,id,demand,availableDocks,latitude,longitude
0,11002,1,32,32.0429,118.771
1,11009,2,29,32.0513,118.764
2,11011,1,32,32.0497,118.77
3,11012,-17,37,32.0519,118.771
4,11018,18,56,32.0606,118.76299999999999
5,11021,7,34,32.0597,118.765
6,11024,15,47,32.0641,118.765
7,11028,-2,31,32.066,118.77
8,11030,10,46,32.064,118.779
9,11035,1,45,32.0763,118.77
10,11101,8,33,32.0665,118.76700000000001
11,11102,-27,46,32.0719,118.77799999999999
12,11104,4,28,32.0688,118.765
13,11126,13,29,32.0578,118.78399999999999
14,11127,13,37,32.0724,118.773
15,11130,6,43,32.0602,118.78399999999999
16,11271,1,34,32.0654,118.76
17,13005,11,36,32.0437,118.795
18,13009,1,51,32.0488,118.79700000000001
19,13013,8,59,32.0602,118.785
20,13017,12,36,32.0579,118.806
21,13025,29,58,32.0702,118.785
22,13062,4,41,32.0632,118.79299999999999
23,13094,14,35,32.0557,118.796
24,13095,6,22,32.0648,118.786
25,13097,12,26,32.0521,118.788
26,13098,9,37,32.048,118.787
27,15001,21,52,32.0426,118.76700000000001
28,15003,20,58,32.0424,118.777
29,15007,15,58,32.0414,118.795
30,15009,5,55,32.0408,118.803
31,15012,10,60,32.0399,118.78399999999999
32,15023,10,41,32.0358,118.79
33,15029,36,60,32.0334,118.792
34,15031,19,27,32.031,118.77799999999999
35,15035,2,58,32.0306,118.78200000000001
36,15037,-4,48,32.029,118.792
37,15038,2,34,32.0271,118.777
38,15042,2,47,32.0255,118.772
39,15045,10,35,32.0231,118.777
40,15047,6,41,32.024,118.78200000000001
41,15048,-11,35,32.0229,118.78200000000001
42,15056,12,45,32.0193,118.77
43,15057,1,45,32.0189,118.775
44,15061,1,36,32.0212,118.796
45,15062,11,52,32.0229,118.79799999999999
46,15067,15,36,32.014,118.79
47,15068,4,59,32.0149,118.795
48,15070,3,35,32.009,118.79299999999999
49,15075,16,33,32.033,118.79
50,15077,10,27,32.0325,118.775
51,15088,14,44,32.0318,118.773
52,15100,2,39,32.0355,118.779
53,15120,5,24,32.0216,118.8
54,15143,1,35,32.0328,118.801
55,15144,-6,30,32.03,118.79899999999999
